P_Ac_in (W),Charge Aging cost (€ct/kWh),Cap_Loss_CH [p.u./HalfCycle],,P_Ac_out,Discharge Aging cost (€ct/kWh),Cap_Loss_DCH [p.u./HalfCycle]
-6264,0.195863007,5.36611E-07,,6264,0.116066496,3.18E-07
-6300,0.196091163,5.37236E-07,,6300,0.116066496,3.18E-07
-6336,0.196311001,5.37838E-07,,6336,0.116066496,3.18E-07
-6372,0.196540517,5.38467E-07,,6372,0.116066496,3.18E-07
-6408,0.19677073,5.39098E-07,,6408,0.116066496,3.18E-07
-6444,0.197001641,5.39731E-07,,6444,0.116066496,3.18E-07
-6480,0.197224134,5.4034E-07,,6480,0.116066496,3.18E-07
-6516,0.197456422,5.40976E-07,,6516,0.116066496,3.18E-07
-6552,0.197689416,5.41615E-07,,6552,0.116066496,3.18E-07
-6588,0.197923119,5.42255E-07,,6588,0.116066496,3.18E-07
-6624,0.198148302,5.42872E-07,,6624,0.116066496,3.18E-07
-6660,0.1983834,5.43516E-07,,6660,0.116066496,3.18E-07
-6696,0.198619213,5.44162E-07,,6696,0.116066496,3.18E-07
-6732,0.198855743,5.4481E-07,,6732,0.116066496,3.18E-07
-6768,0.199083652,5.45435E-07,,6768,0.116066496,3.18E-07
-6804,0.199321597,5.46087E-07,,6804,0.116066496,3.18E-07
-6840,0.199560266,5.4674E-07,,6840,0.116066496,3.18E-07
-6876,0.199799663,5.47396E-07,,6876,0.116066496,3.18E-07
-6912,0.200030334,5.48028E-07,,6912,0.116066496,3.18E-07
-6948,0.200271163,5.48688E-07,,6948,0.116066496,3.18E-07
-6984,0.200512727,5.4935E-07,,6984,0.116066496,3.18E-07
-7020,0.200755027,5.50014E-07,,7020,0.116066496,3.18E-07
-7056,0.200988497,5.50653E-07,,7056,0.116066496,3.18E-07
-7092,0.20123225,5.51321E-07,,7092,0.116066496,3.18E-07
-7128,0.201476747,5.51991E-07,,7128,0.116066496,3.18E-07
-7164,0.20172199,5.52663E-07,,7164,0.116066496,3.18E-07
-7200,0.201958296,5.5331E-07,,7200,0.116066496,3.18E-07
-7236,0.202205011,5.53986E-07,,7236,0.116066496,3.18E-07
-7272,0.20245248,5.54664E-07,,7272,0.116066496,3.18E-07
-7308,0.202700706,5.55344E-07,,7308,0.116066496,3.18E-07
-7344,0.202939886,5.56E-07,,7344,0.116066496,3.18E-07
-7380,0.203189603,5.56684E-07,,7380,0.116066496,3.18E-07
-7416,0.203440084,5.5737E-07,,7416,0.116066496,3.18E-07
-7452,0.203691332,5.58058E-07,,7452,0.116066496,3.18E-07
-7488,0.203933301,5.58721E-07,,7488,0.116066496,3.18E-07
-7524,0.20418606,5.59414E-07,,7524,0.116066496,3.18E-07
-7560,0.204439593,5.60108E-07,,7560,0.116066496,3.18E-07
-7596,0.204693903,5.60805E-07,,7596,0.116066496,3.18E-07
-7632,0.204933101,5.61461E-07,,7632,0.116066496,3.18E-07
-7668,0.205188925,5.62161E-07,,7668,0.116066496,3.18E-07
