P_Batt_in (W),,Cap_Loss_CH [p.u./HalfCycle],pu/dth
-5552.41611,0.154233781,5.31E-07,8.19E-08
-5587.963467,0.155221207,5.31E-07,8.24E-08
-5623.507972,0.156208555,5.32E-07,8.31E-08
-5659.049627,0.157195823,5.32E-07,8.36E-08
-5693.191145,0.158144198,5.33E-07,8.43E-08
-5728.727211,0.159131311,5.34E-07,8.50E-08
-5764.260427,0.160118345,5.34E-07,8.55E-08
-5799.790795,0.1611053,5.35E-07,8.62E-08
-5833.921474,0.162053374,5.35E-07,8.67E-08
-5869.446259,0.163040174,5.36E-07,8.74E-08
-5904.968197,0.164026894,5.37E-07,8.81E-08
-5940.487289,0.165013536,5.37E-07,8.86E-08
-5974.607138,0.165961309,5.38E-07,8.93E-08
-6010.120653,0.166947796,5.38E-07,8.98E-08
-6045.631324,0.167934203,5.39E-07,9.05E-08
-6081.139151,0.168920532,5.40E-07,9.12E-08
-6115.248181,0.169868005,5.40E-07,9.17E-08
-6150.750436,0.170854179,5.41E-07,9.24E-08
-6186.24985,0.171840274,5.42E-07,9.31E-08
-6221.746423,0.17282629,5.42E-07,9.37E-08
-6255.844644,0.173773462,5.43E-07,9.44E-08
-6291.33565,0.174759324,5.44E-07,9.51E-08
-6326.823818,0.175745106,5.44E-07,9.56E-08
-6362.309147,0.17673081,5.45E-07,9.63E-08
-6396.396569,0.177677682,5.45E-07,9.68E-08
-6431.876337,0.178663232,5.46E-07,9.76E-08
-6467.35327,0.179648702,5.47E-07,9.83E-08
-6502.827367,0.180634094,5.47E-07,9.88E-08
-6536.904,0.181580667,5.48E-07,9.95E-08
-6572.372541,0.182565904,5.49E-07,1.00E-07
-6607.838248,0.183551062,5.49E-07,1.01E-07
-6643.301123,0.184536142,5.50E-07,1.01E-07
-6677.366978,0.185482416,5.51E-07,1.02E-07
-6712.824302,0.186467342,5.51E-07,1.03E-07
-6748.278796,0.187452189,5.52E-07,1.03E-07
-6783.730459,0.188436957,5.53E-07,1.04E-07
-6817.785546,0.189382932,5.53E-07,1.05E-07
-6853.231664,0.190367546,5.54E-07,1.05E-07
-6888.674954,0.191352082,5.55E-07,1.06E-07
-6924.115416,0.192336539,5.55E-07,1.07E-07
-6958.159746,0.193282215,5.56E-07,1.07E-07
-6993.594668,0.194266519,5.57E-07,1.08E-07
-7029.026765,0.195250743,5.57E-07,1.09E-07
-7064.456037,0.19623489,5.58E-07,1.09E-07
-7098.472212,0.197179784,5.59E-07,1.10E-07
-7133.89595,0.198163776,5.59E-07,1.11E-07
-7169.316866,0.199147691,5.60E-07,1.12E-07
-7204.734961,0.200131527,5.61E-07,1.12E-07
-7237.947256,0.20105409,5.61E-07,1.13E-07
-7273.359885,0.202037775,5.62E-07,1.14E-07
-7308.769693,0.20302138,5.63E-07,1.14E-07
-7344.176683,0.204004908,5.64E-07,1.15E-07
-7377.378112,0.20492717,5.64E-07,1.16E-07
-7412.779641,0.205910546,5.65E-07,1.16E-07
-7448.178353,0.206893843,5.66E-07,1.17E-07
-7483.574249,0.207877062,5.66E-07,1.18E-07
-7516.765277,0.208799035,5.67E-07,1.18E-07
-7552.155717,0.209782103,5.68E-07,1.19E-07
-7587.543343,0.210765093,5.68E-07,1.20E-07
-7622.928155,0.211748004,5.69E-07,1.20E-07
