P_Ac_in (W),P_Batt_in (W),P_loss_in,,P_Ac_out,P_Batt_out,P_loss_out,,P_Ac_in (W),P_Batt_in (W),P_loss_in,,P_Ac_out,P_Batt_out,P_loss_out,,,P_AC_out_only_PE,,,P_Ac_in_only_PE,
-4104,-3789.640199,314.3598012,,4104,3810.271164,293.7288355,,-4104,-4086.299876,-17.70012366,,4104,4126.346781,22.34678077,,,-4104,271.3820547,,4104,296.6596775
-4140,-3825.329561,314.6704395,,4140,3845.744768,294.2552322,,-4140,-4121.977189,-18.02281098,,4140,4162.728426,22.72842605,,,-4140,271.5268062,,4140,296.6476285
-4176,-3859.612945,316.3870545,,4176,3880.246021,295.7539787,,-4176,-4157.658256,-18.34174414,,4176,4199.119104,23.11910428,,,-4176,272.6348744,,4176,298.0453104
-4212,-3895.296649,316.7033513,,4212,3915.717073,296.2829274,,-4212,-4193.329857,-18.67014328,,4212,4235.507291,23.50729076,,,-4212,272.7756366,,4212,298.033208
-4248,-3930.977467,317.022533,,4248,3951.187319,296.8126809,,-4248,-4228.998575,-19.00142538,,4248,4271.898723,23.8987233,,,-4248,272.9139576,,4248,298.0211076
-4284,-3966.655401,317.3445989,,4284,3986.656703,297.343297,,-4284,-4264.66441,-19.33558973,,4284,4308.293402,24.29340235,,,-4284,273.0498947,,4284,298.0090092
-4320,-4000.92781,319.0721895,,4320,4021.149728,298.8502719,,-4320,-4300.334227,-19.66577263,,4320,4344.697318,24.69731791,,,-4320,274.152954,,4320,299.4064169
-4356,-4036.600092,319.3999084,,4356,4056.616191,299.383809,,-4356,-4335.994357,-20.00564331,,4356,4381.098542,25.09854178,,,-4356,274.2852672,,4356,299.3942651
-4392,-4072.269491,319.7305094,,4392,4092.081643,299.918357,,-4392,-4371.651606,-20.34839418,,4392,4417.503013,25.50301349,,,-4392,274.4153435,,4392,299.3821152
-4428,-4107.936008,320.0639919,,4428,4127.546032,300.4539676,,-4428,-4407.305975,-20.69402452,,4428,4453.910733,25.91073349,,,-4428,274.5432341,,4428,299.3699674
-4464,-4142.197452,321.8025477,,4464,4162.030303,301.9696968,,-4464,-4442.964554,-21.03544641,,4464,4490.327894,26.32789371,,,-4464,275.6418031,,4464,300.7671013
-4500,-4177.858322,322.1416777,,4500,4197.491446,302.5085536,,-4500,-4478.613222,-21.38677762,,4500,4526.742162,26.74216214,,,-4500,275.7663915,,4500,300.7549001
-4536,-4213.516313,322.4836871,,4536,4232.951395,303.0486046,,-4536,-4514.259014,-21.74098623,,4536,4563.15968,27.15968021,,,-4536,275.8889244,,4536,300.7427009
-4572,-4249.171425,322.8285752,,4572,4268.410104,303.5898958,,-4572,-4549.901928,-22.09807154,,4572,4599.580448,27.58044836,,,-4572,276.0094474,,4572,300.7305037
-4608,-4283.421914,324.5780856,,4608,4302.885161,305.1148391,,-4608,-4585.549278,-22.45072171,,4608,4636.010861,28.01086059,,,-4608,277.1039785,,4608,302.1273639
-4644,-4319.071384,324.9286158,,4644,4338.340335,305.6596647,,-4644,-4621.186498,-22.81350242,,4644,4672.438181,28.43818078,,,-4644,277.2214839,,4644,302.1151134
-4680,-4354.717977,325.2820227,,4680,4373.794152,306.2058478,,-4680,-4656.820842,-23.17915778,,4680,4708.868752,28.86875241,,,-4680,277.3370954,,4680,302.1028649
-4716,-4390.361695,325.6383055,,4716,4409.24657,306.7534297,,-4716,-4692.452313,-23.54768707,,4716,4745.302576,29.30257591,,,-4716,277.4508538,,4716,302.0906184
-4752,-4424.60124,327.3987599,,4752,4443.712009,308.2879912,,-4752,-4728.088445,-23.9115548,,4752,4781.746247,29.74624749,,,-4752,278.5417437,,4752,303.4872051
-4788,-4460.239321,327.7606794,,4788,4479.160637,308.8393635,,-4788,-4763.714226,-24.28577403,,4788,4818.186627,30.18662666,,,-4788,278.6527368,,4788,303.4749054
-4824,-4495.874527,328.1254728,,4824,4514.60776,309.3922396,,-4824,-4799.337135,-24.66286514,,4824,4854.630259,30.63025905,,,-4824,278.7619806,,4824,303.4626077
-4860,-4531.506861,328.4931394,,4860,4550.053343,309.9466565,,-4860,-4834.957173,-25.04282743,,4860,4891.077145,31.07714512,,,-4860,278.8695114,,4860,303.450312
-4896,-4565.735473,330.2645274,,4896,4584.508808,311.491192,,-4896,-4870.582098,-25.41790203,,4896,4927.534083,31.53408342,,,-4896,279.9571086,,4896,304.8466254
-4932,-4601.362175,330.6378253,,4932,4619.950372,312.0496279,,-4932,-4906.196451,-25.80354881,,4932,4963.987529,31.98752878,,,-4932,280.0620991,,4932,304.8342765
-4968,-4636.986006,331.0139943,,4968,4655.390301,312.6096988,,-4968,-4941.807935,-26.19206471,,4968,5000.444229,32.44422916,,,-4968,280.1654696,,4968,304.8219296
-5004,-4672.606966,331.3930338,,5004,4690.828562,313.1714381,,-5004,-4977.416551,-26.58344903,,5004,5036.904185,32.90418501,,,-5004,280.2672531,,5004,304.8095848
-5040,-4706.824655,333.1753449,,5040,4725.273738,314.7262625,,-5040,-5013.03028,-26.96971983,,5040,5073.374397,33.37439741,,,-5040,281.3518651,,5040,306.2056251
-5076,-4742.43999,333.5600103,,5076,4760.707775,315.2922253,,-5076,-5048.633217,-27.36678321,,5076,5109.840916,33.84091619,,,-5076,281.4513091,,5076,306.1932271
-5112,-4778.052456,333.9475441,,5112,4796.140059,315.8599415,,-5112,-5084.233287,-27.76671294,,5112,5146.310692,34.31069179,,,-5112,281.5492497,,5112,306.1808312
-5148,-4813.662055,334.3379455,,5148,4831.570559,316.4294411,,-5148,-5119.830492,-28.16950834,,5148,5182.783725,34.78372466,,,-5148,281.6457164,,5148,306.1684372
-5184,-4847.868831,336.1311693,,5184,4866.005166,317.9948337,,-5184,-5155.433035,-28.5669647,,5184,5219.267219,35.26721854,,,-5184,282.7276152,,5184,307.5642046
-5220,-4883.472809,336.5271913,,5220,4901.431259,318.5687406,,-5220,-5191.024566,-28.97543372,,5220,5255.746818,35.74681798,,,-5220,282.8219226,,5220,307.5517576
-5256,-4919.073921,336.9260789,,5256,4936.855492,319.1445076,,-5256,-5226.613234,-29.38676636,,5256,5292.229676,36.22967605,,,-5256,282.9148316,,5256,307.5393125
-5292,-4954.672169,337.3278315,,5292,4972.277838,319.7221622,,-5292,-5262.199038,-29.80096191,,5292,5328.715793,36.71579318,,,-5292,283.006369,,5292,307.5268696
-5328,-4988.868042,339.1319575,,5328,5006.701628,321.2983717,,-5328,-5297.790407,-30.20959318,,5328,5365.212576,37.21257595,,,-5328,284.0857958,,5328,308.9223643
-5364,-5024.460675,339.5393253,,5364,5042.119401,321.8805991,,-5364,-5333.370543,-30.62945693,,5364,5401.705263,37.7052633,,,-5364,284.1753358,,5364,308.9098684
-5400,-5060.050444,339.9495559,,5400,5077.535217,322.4647835,,-5400,-5368.947818,-31.05218156,,5400,5438.201211,38.20121108,,,-5400,284.2635724,,5400,308.8973743
-5436,-5095.637351,340.3626488,,5436,5112.94905,323.0509498,,-5436,-5404.522234,-31.47776636,,5436,5474.70042,38.70041974,,,-5436,284.3505301,,5436,308.8848824
-5472,-5129.822333,342.1776666,,5472,5147.361802,324.6381981,,-5472,-5440.102438,-31.89756191,,5472,5511.210499,39.21049879,,,-5472,285.4276993,,5472,310.2801047
-5508,-5165.403631,342.5963693,,5508,5182.770913,325.2290868,,-5508,-5475.671191,-32.3288095,,5508,5547.716281,39.71628131,,,-5508,285.5128055,,5508,310.2675598
-5544,-5200.982068,343.0179321,,5544,5218.17798,325.8220205,,-5544,-5511.237085,-32.76291521,,5544,5584.225326,40.22532607,,,-5544,285.5966944,,5544,310.2550169
