P_AC_out_only_PE,,,P_Ac_in_only_PE,
-7560,308.9881615,,7560,329.2357626
-7596,309.0345,,7596,329.2225429
-7632,310.7354882,,7632,331.4312073
-7668,310.7812885,,7668,331.4179026
-7704,310.8265442,,7704,331.4046
-7740,310.8712625,,7740,331.3912997
-7776,312.5721165,,7776,333.5999963
-7812,312.6163241,,7812,333.586611
-7848,312.66001,,7848,333.5732276
-7884,312.703181,,7884,333.5598465
-7920,314.4039097,,7920,335.7681166
-7956,314.4465954,,7956,335.7546506
-7992,314.488781,,7992,335.7411866
-8028,314.5304729,,8028,335.7277249
-8064,316.2310837,,8064,337.9355688
-8100,316.2723141,,8100,337.9220222
-8136,316.3130644,,8136,337.9084777
-8172,316.3533408,,8172,337.8949354
-8208,318.0538399,,8208,340.1023534
-8244,318.0936769,,8244,340.0887264
-8280,318.1330529,,8280,340.0751014
-8316,318.1719737,,8316,340.0614788
-8352,319.8723659,,8352,342.2684711
-8388,319.9108678,,8388,342.2547637
-8424,319.9489267,,8424,342.2410585
-8460,319.9865477,,8460,342.2273555
-8496,321.6868373,,8496,344.4339226
-8532,321.7240587,,8532,344.4201349
-8568,321.7608538,,8568,344.4063495
-8604,321.7972278,,8604,344.3925662
-8640,323.4974177,,8640,346.5987083
-8676,323.5334099,,8676,346.5848405
-8712,323.5689918,,8712,346.570975
-8748,323.6041681,,8748,346.5571117
-8784,325.3042608,,8784,348.762829
-8820,325.3390719,,8820,348.7488812
-8856,325.3734879,,8856,348.7349356
-8892,325.407513,,8892,348.7209922
-8928,327.1075099,,8928,350.9262854
-8964,327.1411856,,8964,350.9122576
-9000,327.1744802,,9000,350.8982321
-9036,327.2073981,,9036,350.8842088
-9072,328.9073001,,9072,353.0890779
-9108,328.9398831,,9108,353.0749703
-9144,328.9720985,,9144,353.0608649
-9180,329.0039502,,9180,353.0467618
-9216,330.7037579,,9216,355.2512072
-9252,330.7352885,,9252,355.2370198
-9288,330.7664643,,9288,355.2228348
-9324,330.797289,,9324,355.208652
-9360,332.4970022,,9360,357.4126739
-9396,332.5275186,,9396,357.3984069
-9432,332.5576922,,9432,357.3841423
-9468,332.5875268,,9468,357.3698798
-9504,334.2871448,,9504,359.5734786
-9540,334.3166831,,9540,359.5591322
-9576,334.3458899,,9576,359.544788
-9612,334.374769,,9612,359.530446
-9648,336.0742913,,9648,361.7336221
-9684,336.1028853,,9684,361.7191962
-9720,336.131159,,9720,361.7047725
-9756,336.1591154,,9756,361.6903512
-9792,337.8585405,,9792,363.8931047
-9828,337.8862227,,9828,363.8785995
-9864,337.9135948,,9864,363.8640966
-9900,337.9406598,,9900,363.8495959
-9936,339.6399862,,9936,366.0519273
-9972,339.6667871,,9972,366.0373428
-10008,339.6932877,,10008,366.0227606
-10044,339.719491,,10044,366.0081808
-10080,341.4187168,,10080,368.2100903
-10116,341.4446653,,10116,368.1954267
-10152,341.4703229,,10152,368.1807654
-10188,341.4956925,,10188,368.1661064
-10224,343.1948155,,10224,370.3675944
-10260,343.2199392,,10260,370.3528517
-10296,343.2447809,,10296,370.3381114
-10332,343.2693434,,10332,370.3233735
-10368,344.9683615,,10368,372.5244402
-10404,344.9926865,,10404,372.5096186
-10440,345.0167379,,10440,372.4947994
-10476,345.0405185,,10476,372.4799825
-10512,346.7394294,,10512,374.6806284
-10548,346.7629804,,10548,374.6657279
-10584,346.7862659,,10584,374.6508299
-10620,346.8092886,,10620,374.6359342
-10656,348.5080896,,10656,376.8361594
-10692,348.5308902,,10692,376.8211802
-10728,348.5534331,,10728,376.8062034
-10764,348.5757209,,10764,376.791229
-10800,350.2744092,,10800,378.9910339
-10836,350.2964819,,10836,378.9759761
-10872,350.3183044,,10872,378.9609207
-10908,350.3398789,,10908,378.9458676
-10944,352.0384517,,10944,381.1452525
-10980,352.0598179,,10980,381.1301163
-11016,352.0809408,,11016,381.1149822
-11052,352.101823,,11052,381.0998507
-11088,353.8002772,,11088,383.298816
-11124,353.8209573,,11124,383.2836011
-11160,353.8414009,,11160,383.2683888
-11196,353.8616102,,11196,383.2531788
-11232,355.5599431,,11232,385.4517246
-11268,355.5799564,,11268,385.4364315
-11304,355.5997397,,11304,385.4211408
-11340,355.6192953,,11340,385.4058525
-11376,357.3175036,,11376,387.6039793
-11412,357.3368686,,11412,387.5886079
-11448,357.35601,,11448,387.5732389
-11484,357.3749297,,11484,387.5578725
-11520,359.0730102,,11520,389.7555804
-11556,359.0917447,,11556,389.7401309
-11592,359.1102616,,11592,389.7246838
-11628,359.1285626,,11628,389.7092391
-11664,360.8265122,,11664,391.9065287
-11700,360.8446331,,11700,391.8910011
-11736,360.8625421,,11736,391.875476
-11772,360.8802408,,11772,391.8599533
-11808,362.5780561,,11808,394.0568248
-11844,362.5955798,,11844,394.0412192
-11880,362.6128967,,11880,394.0256161
-11916,362.630009,,11916,394.0100155
-11952,364.3276868,,11952,396.2064691
-11988,364.3446284,,11988,396.1907857
-12024,364.3613686,,12024,396.1751047
-12060,364.3779093,,12060,396.1594263
-12096,366.0754463,,12096,398.3554622
-12132,366.0918208,,12132,398.3397011
-12168,366.1079989,,12168,398.3239425
-12204,366.1239824,,12204,398.3081863
-12240,367.8213753,,12240,400.503805
-12276,367.8371967,,12276,400.4879662
-12312,367.8528267,,12312,400.4721299
-12348,367.8682668,,12348,400.4562961
-12384,369.5655122,,12384,402.6514979
-12420,369.5807942,,12420,402.6355815
-12456,369.5958894,,12456,402.6196677
-12492,369.6107994,,12492,402.6037563
-12528,371.307894,,12528,404.7985415
-12564,371.3226495,,12564,404.7825476
-12600,371.3372227,,12600,404.7665563
-12636,371.3516151,,12636,404.7505676
-12672,373.0485556,,12672,406.9449364
-12708,373.0627972,,12708,406.9288651
-12744,373.0768607,,12744,406.9127965
-12780,373.0907477,,12780,406.8967303
-12816,375.0027122,,12816,409.0906831
-12852,375.0164774,,12852,409.0745346
-12888,375.0300686,,12888,409.0583887
-12924,375.0434874,,12924,409.0422453
-12960,377.3834241,,12960,411.2357824
-12996,377.3967736,,12996,411.2195567
-13032,377.4099525,,13032,411.2033336
-13068,377.4229623,,13068,411.187113
-13104,379.7626865,,13104,413.3802346
-13140,379.7756278,,13140,413.3639319
-13176,379.7884019,,13176,413.3476317
-13212,379.8010101,,13212,413.3313341
-13248,382.1405149,,13248,415.5240407
-13284,382.1530554,,13284,415.5076609
-13320,382.1654319,,13320,415.4912837
-13356,382.1776455,,13356,415.4749091
-13392,384.5169244,,13392,417.6672008
-13428,384.529071,,13428,417.6507442
-13464,384.5410566,,13464,417.6342902
